case_id,alpha_run,sam_run,key_factor_jaccard,recommendation_jaccard,alpha_key_tags,sam_key_tags,alpha_recommendation_tags,sam_recommendation_tags
case_01,1,1,0.5,0.7143,repetitive_work|trunk_overflexion|upper_arm_elevation,neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation,adjust_work_height_or_material_position|mechanical_assistance_or_support|monitoring_feedback_or_training|neutral_trunk_neck_posture|reduce_reaching_or_arm_elevation|wrist_hand_tool_adjustment,adjust_work_height_or_material_position|mechanical_assistance_or_support|monitoring_feedback_or_training|neutral_trunk_neck_posture|reduce_repetition_or_add_recovery|wrist_hand_tool_adjustment
case_01,1,2,0.75,0.125,repetitive_work|trunk_overflexion|upper_arm_elevation,prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation,adjust_work_height_or_material_position|mechanical_assistance_or_support|monitoring_feedback_or_training|neutral_trunk_neck_posture|reduce_reaching_or_arm_elevation|wrist_hand_tool_adjustment,monitoring_feedback_or_training|reduce_repetition_or_add_recovery|reduce_static_exposure
case_01,1,3,1.0,0.5714,repetitive_work|trunk_overflexion|upper_arm_elevation,repetitive_work|trunk_overflexion|upper_arm_elevation,adjust_work_height_or_material_position|mechanical_assistance_or_support|monitoring_feedback_or_training|neutral_trunk_neck_posture|reduce_reaching_or_arm_elevation|wrist_hand_tool_adjustment,adjust_work_height_or_material_position|mechanical_assistance_or_support|neutral_trunk_neck_posture|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery
case_01,1,4,1.0,0.2857,repetitive_work|trunk_overflexion|upper_arm_elevation,repetitive_work|trunk_overflexion|upper_arm_elevation,adjust_work_height_or_material_position|mechanical_assistance_or_support|monitoring_feedback_or_training|neutral_trunk_neck_posture|reduce_reaching_or_arm_elevation|wrist_hand_tool_adjustment,monitoring_feedback_or_training|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery
case_01,1,5,1.0,0.4286,repetitive_work|trunk_overflexion|upper_arm_elevation,repetitive_work|trunk_overflexion|upper_arm_elevation,adjust_work_height_or_material_position|mechanical_assistance_or_support|monitoring_feedback_or_training|neutral_trunk_neck_posture|reduce_reaching_or_arm_elevation|wrist_hand_tool_adjustment,adjust_work_height_or_material_position|neutral_trunk_neck_posture|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery
case_01,2,1,0.8333,0.4286,neck_overflexion_or_extension|prolonged_static_posture|trunk_overflexion|upper_arm_elevation|wrist_deviation,neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation,adjust_work_height_or_material_position|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery|wrist_hand_tool_adjustment,adjust_work_height_or_material_position|mechanical_assistance_or_support|monitoring_feedback_or_training|neutral_trunk_neck_posture|reduce_repetition_or_add_recovery|wrist_hand_tool_adjustment
case_01,2,2,0.5,0.1667,neck_overflexion_or_extension|prolonged_static_posture|trunk_overflexion|upper_arm_elevation|wrist_deviation,prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation,adjust_work_height_or_material_position|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery|wrist_hand_tool_adjustment,monitoring_feedback_or_training|reduce_repetition_or_add_recovery|reduce_static_exposure
case_01,2,3,0.3333,0.5,neck_overflexion_or_extension|prolonged_static_posture|trunk_overflexion|upper_arm_elevation|wrist_deviation,repetitive_work|trunk_overflexion|upper_arm_elevation,adjust_work_height_or_material_position|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery|wrist_hand_tool_adjustment,adjust_work_height_or_material_position|mechanical_assistance_or_support|neutral_trunk_neck_posture|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery
case_01,2,4,0.3333,0.4,neck_overflexion_or_extension|prolonged_static_posture|trunk_overflexion|upper_arm_elevation|wrist_deviation,repetitive_work|trunk_overflexion|upper_arm_elevation,adjust_work_height_or_material_position|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery|wrist_hand_tool_adjustment,monitoring_feedback_or_training|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery
case_01,2,5,0.3333,0.6,neck_overflexion_or_extension|prolonged_static_posture|trunk_overflexion|upper_arm_elevation|wrist_deviation,repetitive_work|trunk_overflexion|upper_arm_elevation,adjust_work_height_or_material_position|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery|wrist_hand_tool_adjustment,adjust_work_height_or_material_position|neutral_trunk_neck_posture|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery
case_01,3,1,0.5,0.2857,neck_overflexion_or_extension|trunk_overflexion|wrist_deviation,neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation,neutral_trunk_neck_posture|reduce_reaching_or_arm_elevation|wrist_hand_tool_adjustment,adjust_work_height_or_material_position|mechanical_assistance_or_support|monitoring_feedback_or_training|neutral_trunk_neck_posture|reduce_repetition_or_add_recovery|wrist_hand_tool_adjustment
case_01,3,2,0.1667,0.0,neck_overflexion_or_extension|trunk_overflexion|wrist_deviation,prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation,neutral_trunk_neck_posture|reduce_reaching_or_arm_elevation|wrist_hand_tool_adjustment,monitoring_feedback_or_training|reduce_repetition_or_add_recovery|reduce_static_exposure
case_01,3,3,0.2,0.3333,neck_overflexion_or_extension|trunk_overflexion|wrist_deviation,repetitive_work|trunk_overflexion|upper_arm_elevation,neutral_trunk_neck_posture|reduce_reaching_or_arm_elevation|wrist_hand_tool_adjustment,adjust_work_height_or_material_position|mechanical_assistance_or_support|neutral_trunk_neck_posture|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery
case_01,3,4,0.2,0.2,neck_overflexion_or_extension|trunk_overflexion|wrist_deviation,repetitive_work|trunk_overflexion|upper_arm_elevation,neutral_trunk_neck_posture|reduce_reaching_or_arm_elevation|wrist_hand_tool_adjustment,monitoring_feedback_or_training|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery
case_01,3,5,0.2,0.4,neck_overflexion_or_extension|trunk_overflexion|wrist_deviation,repetitive_work|trunk_overflexion|upper_arm_elevation,neutral_trunk_neck_posture|reduce_reaching_or_arm_elevation|wrist_hand_tool_adjustment,adjust_work_height_or_material_position|neutral_trunk_neck_posture|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery
case_01,4,1,0.6667,0.5,prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation,neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation,adjust_work_height_or_material_position|reduce_repetition_or_add_recovery|wrist_hand_tool_adjustment,adjust_work_height_or_material_position|mechanical_assistance_or_support|monitoring_feedback_or_training|neutral_trunk_neck_posture|reduce_repetition_or_add_recovery|wrist_hand_tool_adjustment
case_01,4,2,1.0,0.2,prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation,prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation,adjust_work_height_or_material_position|reduce_repetition_or_add_recovery|wrist_hand_tool_adjustment,monitoring_feedback_or_training|reduce_repetition_or_add_recovery|reduce_static_exposure
case_01,4,3,0.75,0.3333,prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation,repetitive_work|trunk_overflexion|upper_arm_elevation,adjust_work_height_or_material_position|reduce_repetition_or_add_recovery|wrist_hand_tool_adjustment,adjust_work_height_or_material_position|mechanical_assistance_or_support|neutral_trunk_neck_posture|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery
case_01,4,4,0.75,0.2,prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation,repetitive_work|trunk_overflexion|upper_arm_elevation,adjust_work_height_or_material_position|reduce_repetition_or_add_recovery|wrist_hand_tool_adjustment,monitoring_feedback_or_training|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery
case_01,4,5,0.75,0.4,prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation,repetitive_work|trunk_overflexion|upper_arm_elevation,adjust_work_height_or_material_position|reduce_repetition_or_add_recovery|wrist_hand_tool_adjustment,adjust_work_height_or_material_position|neutral_trunk_neck_posture|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery
case_01,5,1,0.8333,0.4286,neck_overflexion_or_extension|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation,neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation,adjust_work_height_or_material_position|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery|wrist_hand_tool_adjustment,adjust_work_height_or_material_position|mechanical_assistance_or_support|monitoring_feedback_or_training|neutral_trunk_neck_posture|reduce_repetition_or_add_recovery|wrist_hand_tool_adjustment
case_01,5,2,0.5,0.1667,neck_overflexion_or_extension|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation,prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation,adjust_work_height_or_material_position|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery|wrist_hand_tool_adjustment,monitoring_feedback_or_training|reduce_repetition_or_add_recovery|reduce_static_exposure
case_01,5,3,0.6,0.5,neck_overflexion_or_extension|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation,repetitive_work|trunk_overflexion|upper_arm_elevation,adjust_work_height_or_material_position|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery|wrist_hand_tool_adjustment,adjust_work_height_or_material_position|mechanical_assistance_or_support|neutral_trunk_neck_posture|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery
case_01,5,4,0.6,0.4,neck_overflexion_or_extension|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation,repetitive_work|trunk_overflexion|upper_arm_elevation,adjust_work_height_or_material_position|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery|wrist_hand_tool_adjustment,monitoring_feedback_or_training|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery
case_01,5,5,0.6,0.6,neck_overflexion_or_extension|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation,repetitive_work|trunk_overflexion|upper_arm_elevation,adjust_work_height_or_material_position|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery|wrist_hand_tool_adjustment,adjust_work_height_or_material_position|neutral_trunk_neck_posture|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery
case_02,1,1,0.6667,1.0,prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation,neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation,adjust_work_height_or_material_position|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery|reduce_static_exposure|wrist_hand_tool_adjustment,adjust_work_height_or_material_position|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery|reduce_static_exposure|wrist_hand_tool_adjustment
case_02,1,2,0.6667,0.8,prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation,neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation,adjust_work_height_or_material_position|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery|reduce_static_exposure|wrist_hand_tool_adjustment,reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery|reduce_static_exposure|wrist_hand_tool_adjustment
case_02,1,3,1.0,0.6667,prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation,prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation,adjust_work_height_or_material_position|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery|reduce_static_exposure|wrist_hand_tool_adjustment,adjust_work_height_or_material_position|monitoring_feedback_or_training|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery|reduce_static_exposure
case_02,1,4,0.3333,0.8,prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation,neck_overflexion_or_extension|trunk_overflexion|upper_arm_elevation|wrist_deviation,adjust_work_height_or_material_position|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery|reduce_static_exposure|wrist_hand_tool_adjustment,reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery|reduce_static_exposure|wrist_hand_tool_adjustment
case_02,1,5,0.75,0.6,prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation,repetitive_work|trunk_overflexion|upper_arm_elevation,adjust_work_height_or_material_position|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery|reduce_static_exposure|wrist_hand_tool_adjustment,reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery|reduce_static_exposure
case_02,2,1,0.6667,0.4286,neck_overflexion_or_extension|trunk_overflexion|upper_arm_elevation|wrist_deviation,neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation,adjust_work_height_or_material_position|mechanical_assistance_or_support|monitoring_feedback_or_training|reduce_reaching_or_arm_elevation|wrist_hand_tool_adjustment,adjust_work_height_or_material_position|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery|reduce_static_exposure|wrist_hand_tool_adjustment
case_02,2,2,0.6667,0.2857,neck_overflexion_or_extension|trunk_overflexion|upper_arm_elevation|wrist_deviation,neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation,adjust_work_height_or_material_position|mechanical_assistance_or_support|monitoring_feedback_or_training|reduce_reaching_or_arm_elevation|wrist_hand_tool_adjustment,reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery|reduce_static_exposure|wrist_hand_tool_adjustment
case_02,2,3,0.3333,0.4286,neck_overflexion_or_extension|trunk_overflexion|upper_arm_elevation|wrist_deviation,prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation,adjust_work_height_or_material_position|mechanical_assistance_or_support|monitoring_feedback_or_training|reduce_reaching_or_arm_elevation|wrist_hand_tool_adjustment,adjust_work_height_or_material_position|monitoring_feedback_or_training|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery|reduce_static_exposure
case_02,2,4,1.0,0.2857,neck_overflexion_or_extension|trunk_overflexion|upper_arm_elevation|wrist_deviation,neck_overflexion_or_extension|trunk_overflexion|upper_arm_elevation|wrist_deviation,adjust_work_height_or_material_position|mechanical_assistance_or_support|monitoring_feedback_or_training|reduce_reaching_or_arm_elevation|wrist_hand_tool_adjustment,reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery|reduce_static_exposure|wrist_hand_tool_adjustment
case_02,2,5,0.4,0.1429,neck_overflexion_or_extension|trunk_overflexion|upper_arm_elevation|wrist_deviation,repetitive_work|trunk_overflexion|upper_arm_elevation,adjust_work_height_or_material_position|mechanical_assistance_or_support|monitoring_feedback_or_training|reduce_reaching_or_arm_elevation|wrist_hand_tool_adjustment,reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery|reduce_static_exposure
case_02,3,1,0.6667,0.8,prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation,neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation,adjust_work_height_or_material_position|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery|reduce_static_exposure,adjust_work_height_or_material_position|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery|reduce_static_exposure|wrist_hand_tool_adjustment
case_02,3,2,0.6667,0.6,prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation,neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation,adjust_work_height_or_material_position|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery|reduce_static_exposure,reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery|reduce_static_exposure|wrist_hand_tool_adjustment
case_02,3,3,1.0,0.8,prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation,prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation,adjust_work_height_or_material_position|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery|reduce_static_exposure,adjust_work_height_or_material_position|monitoring_feedback_or_training|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery|reduce_static_exposure
case_02,3,4,0.3333,0.6,prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation,neck_overflexion_or_extension|trunk_overflexion|upper_arm_elevation|wrist_deviation,adjust_work_height_or_material_position|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery|reduce_static_exposure,reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery|reduce_static_exposure|wrist_hand_tool_adjustment
case_02,3,5,0.75,0.75,prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation,repetitive_work|trunk_overflexion|upper_arm_elevation,adjust_work_height_or_material_position|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery|reduce_static_exposure,reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery|reduce_static_exposure
case_02,4,1,0.5,0.8,prolonged_static_posture|repetitive_work|trunk_overflexion,neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation,adjust_work_height_or_material_position|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery|reduce_static_exposure,adjust_work_height_or_material_position|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery|reduce_static_exposure|wrist_hand_tool_adjustment
case_02,4,2,0.5,0.6,prolonged_static_posture|repetitive_work|trunk_overflexion,neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation,adjust_work_height_or_material_position|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery|reduce_static_exposure,reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery|reduce_static_exposure|wrist_hand_tool_adjustment
case_02,4,3,0.75,0.8,prolonged_static_posture|repetitive_work|trunk_overflexion,prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation,adjust_work_height_or_material_position|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery|reduce_static_exposure,adjust_work_height_or_material_position|monitoring_feedback_or_training|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery|reduce_static_exposure
case_02,4,4,0.1667,0.6,prolonged_static_posture|repetitive_work|trunk_overflexion,neck_overflexion_or_extension|trunk_overflexion|upper_arm_elevation|wrist_deviation,adjust_work_height_or_material_position|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery|reduce_static_exposure,reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery|reduce_static_exposure|wrist_hand_tool_adjustment
case_02,4,5,0.5,0.75,prolonged_static_posture|repetitive_work|trunk_overflexion,repetitive_work|trunk_overflexion|upper_arm_elevation,adjust_work_height_or_material_position|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery|reduce_static_exposure,reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery|reduce_static_exposure
case_02,5,1,0.6667,0.6,prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation,neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation,reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery|reduce_static_exposure,adjust_work_height_or_material_position|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery|reduce_static_exposure|wrist_hand_tool_adjustment
case_02,5,2,0.6667,0.75,prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation,neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation,reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery|reduce_static_exposure,reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery|reduce_static_exposure|wrist_hand_tool_adjustment
case_02,5,3,1.0,0.6,prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation,prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation,reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery|reduce_static_exposure,adjust_work_height_or_material_position|monitoring_feedback_or_training|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery|reduce_static_exposure
case_02,5,4,0.3333,0.75,prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation,neck_overflexion_or_extension|trunk_overflexion|upper_arm_elevation|wrist_deviation,reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery|reduce_static_exposure,reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery|reduce_static_exposure|wrist_hand_tool_adjustment
case_02,5,5,0.75,1.0,prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation,repetitive_work|trunk_overflexion|upper_arm_elevation,reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery|reduce_static_exposure,reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery|reduce_static_exposure
case_03,1,1,0.8,0.2857,prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation,neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation,adjust_work_height_or_material_position|mechanical_assistance_or_support|monitoring_feedback_or_training|reduce_repetition_or_add_recovery|reduce_static_exposure|wrist_hand_tool_adjustment,monitoring_feedback_or_training|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery
case_03,1,2,1.0,0.1429,prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation,prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation,adjust_work_height_or_material_position|mechanical_assistance_or_support|monitoring_feedback_or_training|reduce_repetition_or_add_recovery|reduce_static_exposure|wrist_hand_tool_adjustment,reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery
case_03,1,3,0.5,0.5714,prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation,neck_overflexion_or_extension|prolonged_static_posture|trunk_overflexion|upper_arm_elevation|wrist_deviation,adjust_work_height_or_material_position|mechanical_assistance_or_support|monitoring_feedback_or_training|reduce_repetition_or_add_recovery|reduce_static_exposure|wrist_hand_tool_adjustment,adjust_work_height_or_material_position|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery|reduce_static_exposure|wrist_hand_tool_adjustment
case_03,1,4,0.6,0.4286,prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation,neck_overflexion_or_extension|repetitive_work|trunk_overflexion|upper_arm_elevation,adjust_work_height_or_material_position|mechanical_assistance_or_support|monitoring_feedback_or_training|reduce_repetition_or_add_recovery|reduce_static_exposure|wrist_hand_tool_adjustment,adjust_work_height_or_material_position|monitoring_feedback_or_training|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery
case_03,1,5,0.75,0.375,prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation,repetitive_work|trunk_overflexion|upper_arm_elevation,adjust_work_height_or_material_position|mechanical_assistance_or_support|monitoring_feedback_or_training|reduce_repetition_or_add_recovery|reduce_static_exposure|wrist_hand_tool_adjustment,adjust_work_height_or_material_position|monitoring_feedback_or_training|neutral_trunk_neck_posture|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery
case_03,2,1,0.8,0.2,prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation,neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation,reduce_reaching_or_arm_elevation|reduce_static_exposure|wrist_hand_tool_adjustment,monitoring_feedback_or_training|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery
case_03,2,2,1.0,0.25,prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation,prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation,reduce_reaching_or_arm_elevation|reduce_static_exposure|wrist_hand_tool_adjustment,reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery
case_03,2,3,0.5,0.6,prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation,neck_overflexion_or_extension|prolonged_static_posture|trunk_overflexion|upper_arm_elevation|wrist_deviation,reduce_reaching_or_arm_elevation|reduce_static_exposure|wrist_hand_tool_adjustment,adjust_work_height_or_material_position|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery|reduce_static_exposure|wrist_hand_tool_adjustment
case_03,2,4,0.6,0.1667,prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation,neck_overflexion_or_extension|repetitive_work|trunk_overflexion|upper_arm_elevation,reduce_reaching_or_arm_elevation|reduce_static_exposure|wrist_hand_tool_adjustment,adjust_work_height_or_material_position|monitoring_feedback_or_training|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery
case_03,2,5,0.75,0.1429,prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation,repetitive_work|trunk_overflexion|upper_arm_elevation,reduce_reaching_or_arm_elevation|reduce_static_exposure|wrist_hand_tool_adjustment,adjust_work_height_or_material_position|monitoring_feedback_or_training|neutral_trunk_neck_posture|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery
case_03,3,1,0.8,0.3333,prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation,neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation,adjust_work_height_or_material_position|mechanical_assistance_or_support|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery|reduce_static_exposure,monitoring_feedback_or_training|reduce_reaching_or_arm_elevation|reduce_repetition_or_add_recovery
