case_id,run_index,key_factor_positive_jaccard,alpha_yes,sam_yes
case_01,1,0.6,repetitive_work|trunk_overflexion|upper_arm_elevation,neck_overflexion_or_extension|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
case_01,2,0.5,knee_overflexion|repetitive_work|trunk_overflexion|upper_arm_elevation,neck_overflexion_or_extension|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
case_01,3,0.5,repetitive_work|trunk_overflexion|upper_arm_elevation,knee_overflexion|neck_overflexion_or_extension|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
case_01,4,0.5,knee_overflexion|repetitive_work|trunk_overflexion|upper_arm_elevation,neck_overflexion_or_extension|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
case_01,5,0.3333,trunk_overflexion|upper_arm_elevation,knee_overflexion|neck_overflexion_or_extension|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
case_02,1,0.5714,prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation,knee_overflexion|neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
case_02,2,0.5714,prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation,knee_overflexion|neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
case_02,3,0.5714,prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation,knee_overflexion|neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
case_02,4,0.7143,knee_overflexion|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation,knee_overflexion|neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
case_02,5,0.7143,knee_overflexion|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation,knee_overflexion|neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
case_03,1,0.4286,knee_overflexion|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation,neck_overflexion_or_extension|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
case_03,2,0.5714,knee_overflexion|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation,knee_overflexion|neck_overflexion_or_extension|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
case_03,3,0.5714,knee_overflexion|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation,knee_overflexion|neck_overflexion_or_extension|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
case_03,4,0.4286,knee_overflexion|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation,neck_overflexion_or_extension|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
case_03,5,0.4286,knee_overflexion|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation,neck_overflexion_or_extension|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
case_04,1,0.4286,knee_overflexion|prolonged_static_posture|trunk_overflexion,knee_overflexion|neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
case_04,2,0.5714,knee_overflexion|prolonged_static_posture|trunk_overflexion|upper_arm_elevation,knee_overflexion|neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
case_04,3,0.5714,knee_overflexion|prolonged_static_posture|trunk_overflexion|upper_arm_elevation,knee_overflexion|neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
case_04,4,0.7143,knee_overflexion|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation,knee_overflexion|neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
case_04,5,0.7143,knee_overflexion|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation,knee_overflexion|neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
case_05,1,0.5714,knee_overflexion|prolonged_static_posture|trunk_overflexion|upper_arm_elevation,knee_overflexion|neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
case_05,2,0.5714,knee_overflexion|prolonged_static_posture|trunk_overflexion|upper_arm_elevation,knee_overflexion|neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
case_05,3,0.5714,knee_overflexion|prolonged_static_posture|trunk_overflexion|upper_arm_elevation,knee_overflexion|neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
case_05,4,0.6667,knee_overflexion|prolonged_static_posture|trunk_overflexion|upper_arm_elevation,knee_overflexion|neck_overflexion_or_extension|prolonged_static_posture|trunk_overflexion|upper_arm_elevation|wrist_deviation
case_05,5,0.6667,knee_overflexion|prolonged_static_posture|trunk_overflexion|upper_arm_elevation,knee_overflexion|neck_overflexion_or_extension|prolonged_static_posture|trunk_overflexion|upper_arm_elevation|wrist_deviation
case_06,1,0.6667,prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation,neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
case_06,2,0.5,prolonged_static_posture|trunk_overflexion|upper_arm_elevation,neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
case_06,3,0.4286,knee_overflexion|prolonged_static_posture|trunk_overflexion|upper_arm_elevation,neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
case_06,4,0.4286,knee_overflexion|prolonged_static_posture|trunk_overflexion|upper_arm_elevation,neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
case_06,5,0.4286,knee_overflexion|prolonged_static_posture|trunk_overflexion|upper_arm_elevation,neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
case_07,1,0.6667,prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation,neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
case_07,2,0.6667,prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation,neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
case_07,3,0.5,prolonged_static_posture|trunk_overflexion|upper_arm_elevation,neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
case_07,4,0.6667,prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation,neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
case_07,5,0.6667,prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation,neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
case_08,1,0.5714,knee_overflexion|prolonged_static_posture|trunk_overflexion|upper_arm_elevation,knee_overflexion|neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
case_08,2,0.5714,knee_overflexion|prolonged_static_posture|trunk_overflexion|upper_arm_elevation,knee_overflexion|neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
case_08,3,0.5714,knee_overflexion|prolonged_static_posture|trunk_overflexion|upper_arm_elevation,knee_overflexion|neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
case_08,4,0.5714,knee_overflexion|prolonged_static_posture|trunk_overflexion|upper_arm_elevation,knee_overflexion|neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
case_08,5,0.5714,knee_overflexion|prolonged_static_posture|trunk_overflexion|upper_arm_elevation,knee_overflexion|neck_overflexion_or_extension|prolonged_static_posture|repetitive_work|trunk_overflexion|upper_arm_elevation|wrist_deviation
